,Title,Content
130," Absolutely fantastic! Ignore the sniffy critics
", I never get swept up in the hype of films. But this film is worthy of it. An absolute masterpiece. Phoenix is magical in his performance. Seen it twice already! 
131," Engaging from start to finish
"," This film was engaging from the very first moment to the very last. That is not to say every moment was a blockbuster high action event, but the acting, pacing, and staging of every scene was so dynamic and carefully crafted that one feels engaged at all times, regardless of energy level. Joaquin Pheonix is truly a master of acting, and his ability to completely transform into Arthur is astounding. The piece that truly sells his role as Joker are his eyes: he truly has a madness in his eyes and they pierce through the screen. This film does not seem to fit into any one genre (horror, action/adventure, comedy) but rather is more like a character study and artistic demonstration on the formation of Joker in Gotham City. This is a modern, self-aware, psychologically relevant perspective on a traditionally outlandish, wild, and inexplicably wild villain from DC cannon. This sets a new standard for DC films, and puts the previous flops to even greater shame. "
132," Scary thoughts comes from funny minds
", Nothing to say just to congratulate Todd Philips on this masterpiece 
133," Don't know what stopped me to Review the Joker ?
"," Joker Review i<br/><br/>Hamad Saif Al Reyami<br/><br/>
Still after 3rd time watching Joker I do not know what stopped me from reviewing this Film? I will try my best to Review it! Although There are many Reviews and videos published for Joker but what I will say it will not be a spoiler .<br/><br/>The story from the Joker perspective:
My name is Arthur, someone who is undesirable in this society. Even my lean body doesn't attract anyone! My mother is a sick person and I take care of her and she is the only person who I admire in my life.
I enjoy watching (Murray ) program on television, which adds to me some kind of tenderness which is lost in my life .
A new life starts for me and I get to know my feelings clearly and what I need gradually forming.
The rest of the events I will not tell you here and it is better to identify it by watching the film, and Hamad Saif Al Reyami will complete to explain my and everyone performance who worked in making my character.
Since the Joker film has become an important phenomenon in the world of cinema and entered the atmosphere of the Oscars there are so many opinions and gossips has been talked about the film, so let me first to talk about the negativities of this movie, yes there are many negativities from point of some called critics!<br/><br/>Some said that Joker glorifying crimes and born more criminals in the so city. My answer is simply: Did (Godfather) which is considered one of the most beautiful works in cinema, trained criminals on how to shoot the gun and kill people by cold mind?
what about (Robert de Niro) character in (Taxi Driver) who have obsession with anti-society, where he became a criminal of nothing, did this character contributed to deployment a large number of terrorists, and this is also one of the glorified films in the cinema ?!
Therefore, the subject has nothing to do with artistic criticism. The conflict came from critics who may be professional in expressing their views on the political or economic issues of society. Some of them can conduct workshops and seminars on family relations. They didn't criticized Joker artistically! so this topic finished , some general public and viewers, who didn't like Joker were in small numbers and this is their right, but if we get to know each other closely, we will find most of them fans of (speed) or (super heroes) movies, I belive they were shocked by the Joker who is radically different from all the characters which been played in the series of ( Batman) and some of them come to the cinema hall just enjoy eating popcorn with a loud sound from their mouth , so how they can follow the film carefully! here I will start my critical review this movie.
What did Todd Philps done to make this film so special?
There are several important points exploited by Todd Philps the director of Joker which made me lay and magnetization my mind for two hours!
Todd used many technical skills I will mention some of them by my point of view :
The colors of the curtain in (Murry) show is similar to joker colors. A number of scenes, which contribute to the publication of special pictures and posters of the film in an elegant and mixed.
Every scene in the film looks like a picture from beautiful photograph album because the angles of the (Lawrence Cher), let us me capture now some scenes from the Joker you will find that you got an album from a professional photographs why those scenes looks so beautiful ? it is because of the colors and lighting and deliberate choices of places which fit to come out beautiful, such as graffiti or dyed characters in the window of the bus and make the streets wet and choose places that would copied in our mind like stairs and the metro stations, also he chose winter time for filming this movie to show all characters in thick clothes with multiple colors which match with the Joker mask.<br/><br/>
Moreover, most scenes were filmed at night to add the atmosphere of the film Grief and melancholy<br/><br/>.
Technical things can be handled easier than before and this may be a small percentage to make this film attractive, which was written by Todd and (Scott Silver) since 2017, joke character is completely different from previous films of ( Batman), so that is the challenge In writing the this kind of character<br/><br/>In order to prove this thing, the writers of the film have drawn characters and scenes in depth as I mentioned about visuals work ,here you will see new things in the character of the Joker like his laughing styles . anger lough, laugh sarcastically at society
, a laugh of pain and sorrow, and of course laugh just for laughing.
Each of his lough has different tone and a different of sound and there is a sad smile full of grief that we didn't feel in previous Joker characters.
The character of the Joker was painted on paper as Lean body to show a special aesthetic across the screen and this makes viewers involuntarily motivated enthusiastically to encourage this Joker, especially when he has the feeling of freedom from restrictions.
A special dance scene was added to the Joker, which is also a deliberate addition to explain his psychological state.
Blending psychological things in the film such as laughter when joker is in tension this thing never been written before in any film! Mostly those kind of situation used to show criminals in this kind of laugh scenes just to show the fierce character! but here you are very sympathetic to the Joker and laughing because of mental illness, this The behavior made me to study this character, through which you can deduce many things from human behaviors, whether positive or negative and here I find negativity more which is often the dominant and this contributed a lot in the sympathy with the character we see across the screen.<br/><br/>To support Joker story writers imagine this character in the beginning of the 80s were in which the revolution was fabricated in New York and of course in the film was based on the fictional city ( Gotham ) known in the Batman series ,some real events used here, Such as a commercial featuring Clint Eastwood in his age of 40s, as well as the title of a movie outside a cinema theater called (Zorro, The Gay Blade ) Which was released in 1981.
Soundtrack and music has been very appropriate in this film, when we talk about music and songs in Hollywood we recall romantic films like the legendary film (Titanic) with the famous song of (Celine Dion) or the music of the most famous gangsters film in the history (The Godfather) which carried special music
It stays as an echo in our ear And whenever you hear it anywhere, the godfather returns in your imagination<br/><br/>So this dark film( Joker ) carried songs and music from Hildur Guðnadóttir<br/><br/>, all songs are accurate and was great choices in which made perfectly for the situation like the song (It's Life) comes in a scene that represents the life of Joker who made a decision for himself.
In my opinion, the bath dance music will be remain as one of the best art in the Hollywood music because of the aesthetics of the scene which beautifully directed by balanced dance, this was one of the important scene in the film and of course the instrument which is used for this tune was effective its called (Haldorophone)
Hildor coordinated her melody and experience for years until she made this to the joker.<br/><br/>The cast may have been less importance because of the the Joker character, but every character in the film present something important, Robert De Niro, who plays a comic television presenter which character remind us of the comic artist in the early 1980s (Robert Babkin). The fact that we did not get used to watching him in these roles, but from the 1st scene of him he enters with a musical welcoming which made me feel that he entered the mode of this character watch him in the climax scene with joker where he deliver great impact! Zizi Betz in the role of Sophie and her analogy with the formation of the fingers of her hands as a gun which is similar to the (taxi driver) character has a special role in the film, Francis Conroy as Arthur's mother does not have many dialogues but her impact is important in the conduct of the Joker life, Brett Cullen plays the role of Thomas Wayne Candidate for Gotham City is an important role in the formation of the Joker character.Joaquin Phoenix, will be known as Joker by many people even for who do not go to the cinema , he Calculates and estimates his role which was written on the paper, the control on his face, especially when he smile and laugh, and the style and the tone of his dialogue delivery is completely different from his previous films, I became watching him in two parts in the film, but you can recognize him by sound of laughing, His lean body is perfectly consistent with the character whether in the movement of walking or jogging as well as his face properly formed at the height of his cheeks up after the smile feel it is a perfect image of the character of the Joker which gives you the impression that no other actor can be suit to this role, honestly Joaquin made this role Immortalizing in the memory of Hollywood Although it is early to say that, but what Joaquin done is not seen for several years from any actors ! it will be so difficult for anyone to bag the best actor award this year from Joaquin ,will they need a miracle indeed for that!
Director Todd Philps has succeeded in giving us important lessons of feeling different cinema experience , the Paranormal world of DC comics has adapted the dramatic and human art very well , the question is whether DC will be continue to work on this ideas for other characters or it is just in case for the Joker?
The movie may be two hours long, but you will live with it for a long time. For those who refused Joker, They have to watch it again so that they will not lose the chance to savor this film which difficult to have in our time!
5 stars out of 5</div>"
134," I get tired of over-hyped movies
"," So many movies have been over-hyped. Like Inception. A great movie, but it was so built up, a slight let down was felt, and as usual the movie fell short of the incredible hype.<br/><br/>Joker is not that. It meets, nae, exceeds the scuttlebutt. If cookie cutter comics are your forte, better come without those glasses on.<br/><br/>This is a way to complete the Joker personality. There is no ambiguity now. He is a chaos loving psychopath. He doesn't love sticking it to the rich, he doesn't even love killing, he loves causing chaos, and stomping on those who garner the famous Joker laugh. Unfortunately, society at large, except a few truly underfoot souls, may be on that list.
Riviting in every way. "
135," A Masterpiece and critics are really off this time
"," This movie is so incredibly well done that I am writing a comment on IMDb for the first time. I truly have no words, or more like I want to say so many things that I dont even know where to begin.
Please watch it if you havent already, its the best thing you'll watch in a long time. "
136," Best,awesome,fantastic
", That was a best movie..acting was awesome..i like it..so nice...i think this movie can get oscar 
137," Beautiful and brilliant.
"," Having watched Hollywood decline alongside with the latest trend of the dumbing down of nations (as I call this phase we are in), has made going to the cinema more of an empty distraction than a meaningful experience for the past number of years. Thus, when I sat down to watch this movie my expectations were low, as usual. It turned out that this movie was one of the best movies I have ever watched on screen.<br/><br/>There is never going to be a Joker movie that can surpass this one - this was pure art scripted and performed by real talent. Joaquim Phoenix is also a real actor, unlike your usual dumb as hell, painfully overrated cadre of overpaid Hollywood pretty boys - who can't act.<br/><br/>10. "
138," What have i watched ?!
"," A great great movie with amazing acting
Best movie in a long time .
Best movie for this year for sure . "
139," True masterpeice
", Joker is a movie with few flaws. Phoenix performance is absolutely terifing and sympathetic at the same time. Throughout the movie you hear Arthur's haunting laugh the laugh is almost identical to mark hamils iconic cackle. The score elevates all of the situations with lots of tension. All in all joker is a fantastic film with best actor potential 
140," Outstanding!!!!!
", The best movie of the year by far and one of the best in years. The Phoenix interpretation is incredible. A movie repository for cinema.... 
141," Prodigious.
",
142," Highly recommended
"," One of the best films specially for a villain, Joker has reinvented the idea of the laughing clown and just gave a logic background for legder's Joker. "
143," Dark and profound.
"," I purposefully didn't read other reviews, as I wanted my opinion of this film to be my own. Did I enjoy it, possibly not. It wasn't entertaining or entertainment. What it was à dark, very dark and deeply disturbing reflection of our dysfunctional society. A society where the most vulnerable in society are marginalised and don't get the help or support they need.
This is a film about mental health and seeing it on Mental Health Awareness day provided a more powerful message than all the items on the news, in the press and on social media.
Joaquin Phoenix in the title role was beyond description in the way he bought this character to life. Chilling, frightening and yet at the same time conveying the vulnerability of a man lost in his own world, where there is no one to support him and no one who will listen to him and understand him.
Don't expect to come out of this film feeling good about yourself, but don't be surprised if you find yourself asking questions about the world we live in. "
144," The best comic book movie ever?, maybe!
"," Well, I really don't know where to start, as Todd Phillips has clearly stated this movie has been inspired in the Batman comic books, but IT IS NOT, based directly in any comic o graphic novel ever published,Having said that, I consider this movie a masterpiece in every possible way. Undoubtedly one of the 10 best movies of this century, and also , without a doubt , one of the 100 best movies ever made in the history of cinema. Joaquin Phoenix is absolutely incredible in his representation of the mentally ill Arthur Fleck, and as the Joker is, well, absolutely out of this world. The Oscar to best actor should not even enter the competition this year, it belongs to him. A stark portrait of the cruelty of modern society, a superb reminder that mental illness is real and affects thousands of people around the world. What more can be said? Todd Phillips and Joaquin Phoenix, and the rest of the crew and cast deserve a standing ovation. BRAVO !!!!!!!!!! "
145," For watch so many times
", This movie is a really art work! It's amazing! The best of 2019! Joaquin Phoenix always be live in our hearts 
146," Insane
"," Just come from a screening and must say this was an incredible film. Phoenix deserves all the glory he is receiving for the lead role. Philip's is restraint and proves he is quite talented outside the usual comedy film. This film is insane and the story beats are unpredictable. As a modern day comic book film, you must admit WB has taken quite the gamble and it has paid off. A darker DC was promised by Snyder, but BVS was a mess of ideas. Joker is interesting and you'll either enjoy or dislike the film. Ambitious and a film with longevity. Will Ratcatcher be introduced in future films? "
147," Bleak and brilliant
"," Bleak, brilliant, horrendous and fantastic all at once. "
148," Amazing performance by Joaquin Phoenix!
"," This was just brilliant! It's been a long time since I enjoyed a DC film. Got no words, Joaquin deserves an Oscar for his performance as the Joker. "
149," A flawless and unique departure from comic book movies.
",
150," Watch
", In your life you'll encounter that one perfect sunrise . The one perfect lover . The one perfect meal . You only need watch this movie once - watch on the big screen - it will stay with you forever .<br/><br/>Disturbing Art - Unnerving Beauty .<br/><br/>Masterpiece 
151," Took joker to a different level
"," Phoenix's joker is definitely different than Heath's joker . Took joker to a different level. But the main thing , do not compare the two jokers. Both show two different phases in the life of Arthur Fleck. "
152," its a dark chocolate comedy
"," Dark and rich melting in my mouth yet tastes creamy leave the strongest memorable perfect senses after the movie ends, will love it forever, Oscar will bring perfection 10 score ! "
153," SPOILERS I REPEAT SPOILERS
"," This movie is one of the best movies of all time. Jaquin Phoenix plays Arthur Fleck really well, how he laughs and he is trying to express that he doesn't want to laugh, how he turns into a psychopath by killing his mother and the 3 guys on the subway how emotionless he becomes, killing Robert Da Niro and stuff. And I'm really happy that this movie was kept rated R because without the gore it wouldn't as great. I think that they should make him into a Thanos figure for a new DC universe where he appears in post-credit scenes and where they have a big movie where all the new heroes and Joker will go against each other in this bloody movie. "
154," Don't listen to the critics
", This film is incredible. It's harshly criticised for no reason. This film will impact modern cinema. 
155," Masterpiece!
"," The hype is real , Once in alifetime experience 💕 "
156," Epic Masterpiece
", Joaquin Phoenix deserve as many oscars as he can get for this amazingly wielded movie and character 
157," A movie to tell the world what is going wrong with it.
"," This is so far one of the best movies I've ever seen. It shows you the real world. The real emotions of people, and how strong they are even if you are not able to see that. "
158," Masterpiece ... Worth The Hype 🤡
", My first ever review on IMDB and it's worth it .. The amazing Joaquin Phoenix had a difficult task on this role(Joker) as we will always gonna compare him to Heath Ledger and everyone who played the role before.<br/><br/>The outstanding acting and the mood that Phoenix's is going to take you through is just phenomenal. Yes the movie was inspired by Scorsese's Taxi Driver however the joker has his own and unique act.<br/><br/>I guarantee you won't feel the 2hrs of the movie GO AND WATCH IT ..!! 
159," Mind-blowing !
"," I truly believe that this is more than acting , a great great film "
160," Visceral tension throughout
"," A jaw dropping masterpiece of filmmaking. I kept waiting for it to get violent as the media hyped this to be something that would trigger would-be psychopaths. And though it had a few intense scenes, what made Joker a film that put me on the edge of my seat and caused me to forget to breathe was those moments when Arthur Fleck was so alone with his thoughts and fantasies; that he allowed himself to dive headlong into, making the audience question of what they were seeing was really happening to the character. I often found myself empathizing with the pain Phoenix placed inside of the character. And I could almost never anticipate what he was going to do next. That is what made me afraid, for two hours, to draw my next breath. "
161," Whats wrong with all those marvel kiddy fans?
"," The movie was a masterpiece , phoenix's acting was outstanding.
The movie tells the origin of the joker and people are mad cause there wasn't that much of ""joker scenes"" or ""joker moments"".
If you just want to see violence and killing/blood, go watch john wick or any action/no story movie "
162," Brutal piece of art!
",
163," Must see!
", It's a work of art. Everything from the music choices to the acting to cinematography and story progression is absolutely astounding. It gives a massive amount of background in his life and what turned him into the beautiful mess he becomes. I'll definitely be wat Hing this again and again. 
164," Great moviee
"," Best comic movie up to date ,amazing performance by jaouqin pheonix.really emotional "
165," What a movie
", Just brilliant and with great parallels to Christopher Nolan's Joker and Batman movies. Phoenix.... How can you be that good and actor? 
166," An Absolute Classic
", Joker is the film of the year for me! DC is killing it with their latest movies. I love marvel but this one is on another level. Give Phoenix an oscar! 
167," Something else🤡
"," Just seen Joker.
What can i say....<br/><br/>I loved every second of this beautiful and depressing movie. Yes it's Phoenix from beginning til the end, but he playes Joker so convincingly, you could only feel for him, care for him and love him.
(And no, i am not mentally ill)<br/><br/>The entire movie is exceptionally well made, the story, the setting, the music and yes... Joaquin's portrayal of the joker is undoubtedly the most disturbing, I've ever seen.<br/><br/>Do not compare with Nicholson or Ledger (still favorite) just watch and let this Joker do the laughing.<br/><br/>No joke, the Oscar goes to..... "
168," Joaquin Phoenix IS Joker.
"," There have been many a Joker - from live action adaptations and animated adaptations - and this one, by Joaquin Phoenix, is the best one next to Heath Ledger's Joker. With this film released late in the year, perhaps Phoenix is a shoo-in for Best Actor. An excellent character study of a man battling a plethora of mental illnesses. Also, for those who have seen this movie, one question remains: How much of the movie is rooted in reality, and how much of it is in Arthur Fleck's mind? It's difficult to differentiate reality from fantasy. "
169," *This Surely Puts a Smile On My Face*
"," Tbh I have only one thing to say about this movie,
""Justice have been served"" "
170," 🃏 🎶 Send in the clowns 🤡 🎵
"," I.... I.... I have no words.... Because words alone couldn't describe how beautifully this movie is made... This is the lowest a man could go... While we do sympathize with Arthur, they also show us why we should never take the path he took.... The Joker's path... Every single actor nailed their roles and Joaquin must definitely win the academy this year... We could actually feel and go through his struggle and his pain... Like I said... Words doesn't do it justice... Go watch it... Experience it... And the last act of the film just blows your brain away (spoiler alert!!) "
171," An amazing collaboration- Todd Phillips and Joaquin Phoenix have really done it!
",
172," Just amazing
", Very graphic and disturbing but you won't lose focus for a second. Astonishing performance by Phoenix. 
173," Masterpiece
"," My two cents: The message is that people can be as disturbed as can be, but the only thing that will lead them to the light is kindness. Let's see what happens if a person gets the oppossite.<br/><br/>Wrapped in a great movie with the greatest actor of our time. "
174," Reality of Society
"," This is not a movie to be enjoyed or entertained but taken as strong message to bring the humanity. I was expecting it to be great movie but it turned out to be 'one of the greatest' movie. This movie deserves multiple watch. This movie is all about how a man who is disregarded by the society, bitter treatment from society, abandoned by society, and failure as a comedian made him a serial killer. Never ever we should step into crime world because of the dark society. We always should seek some help from a trustworthy guy instead of stepping into crime world. But a major point which can't be neglected is 'dark society'. In a place where this Joker tries to spread joy and happiness has got him only kicks and punches not just on his body but on his inner self, too. This wounded him deeply. This filled his life with loads of pain, depression, mental disorder and what not resulting in a 'serial killer' and 'chaos' all around. Society can't be blamed always. Both society and the victim should be blamed. Both society and victim should vomit all the darkness.<br/><br/>Ending with my single line thought:
What society need is good heart to understand and love each other. What victim need is love and warmth hug from the society.<br/><br/>joaquin phoenix, lead actor of this movie, wore the role as his own skin. "
175," When you hear claps then you know it is amazing!
"," So it literally blew me off...phoenix has given something to cinema which was missing from a long long time!!
The movie got released today, and imagine a theatre full of people (in india) and clapping during the film means it deserves every applause.. "
176," Jaw-dropping film, Joaquin Phoenix ascends to GOAT status
"," 10/10. The direction, the cinematography, the score, the overall acting and tone. This movie would have been great based on that alone, but the protagonist brings something never seen before on stage. I have watched almost everything there is to see, and I had never seen a performance like Phoenix's. Words can't really do it justice. Must watch. Oh and by the way, apparently, it is a comic-book movie. Not that you can tell by watching. "
177," Defenantly second actor to get an oscar from the joker, a dark masterpiece
"," This Is without a doubt the best protryal of the joker, the way he slowly gets turned by society and becomes skinnier and crazier,defenanrly one of the if not the best movie of 2019 "
178," Utterly Brilliant acting
", Joaquin nailed the joker character. Who would act so well without becoming one? The transformation is remarkable and leaves an image in me. Could not get the beat off from me. 
179," Led by a stunning Joaquin Phoenix, Joker is an instant classic
",
180," One character, one movie and more substance than the whole MCU
", Phoenix provides the best acting ever. It's not the movie of the it's the movie of the DECADE. 
181," I know the reasons why you wouldn't like this film.
"," The problem with this movie is that it is too real. Maybe way too real for some people to absorb. Maybe it scares them, maybe it intimidates them, maybe it sickens them, maybe they are forced to see some things that they are not ready to see or forced to believe some things they are not ready to believe. But not for a moment does it change the fact that it is REAL.<br/><br/>This Joker IS NOT your typical 1st gen or 2nd gen Comic Book villain. This film does not follow your typical MCU, DC adaptations of Comics. This is no adaptation of anything you've read. There are no CGI effects. No half hour long fight sequences. No alien races coming to help. There isn't even a Batman to this Joker. This joker doesn't birth from a chemical accident, but rather from the conscious actions of a cruel society to a point where you have to make your imaginery comfort zone... then losing that too.<br/><br/>The loneliness, the darkness, the emotions, the fall from grace so beautifully captured that it haunts you. The fall in darkness so black it upsets you. It poses questions that hurt your conscience... answers to which you would rather avoid.<br/><br/>You can't watch it, and he lived it. And that is Joaquin's Joker... a monster made by YOU. "
182," A true ""kino"" experience; the most revolutionary and subversive film since Fight Club
",
183," Amazing movie
", This movie gave me goosebumps and kept me on my toes for its entire duration. Joaquin Phoenix made me believe that he WAS the Joker himself which is actually insane. 
184," Masterpiece with an important message
"," Joker. Where do I even begin. Never expected a comic book movie to talk about such serious issues that we face today in the world. Mental illness, social economic disparity, social service funding being cut and how mental illness should be treated and what role we play in helping mentally ill people and how they're treated. The best part about Joker is that it never takes a position on these issues, all it does is show us what it's like and holds a mirror up. And that's it. It leaves so many things open ended for the audience to perceive. It's a dark, moody psychodrama which is elevated through Joaquin's performance, Lawrence sher's cinematography and Hildur guðnadóttir's haunting score. Tod Phillips also directed and wrote the film very well. The writing did drop in quality in some scenes during the third act which was one of my only flaws I had, but I'm not getting into spoilers. Watching Joker is a surreal, out of body experience. Some scenes for example the 'bathroom dance' is like being in a hypnotic trance where you don't even wanna blink while watching. And these are just my thoughts on the film, Either way, go watch joker. Support risky films like this that have something to say. "
185," One of the Best Films I Have Seen in My Life!
"," One of the most amazing films that I have ever seen in my lifetime. Phoenix, De Niro, and the entire cast are fantastic. Phoenix's acting is ""off the hook"" amazing. Rarely have I ever left the movie theater mesmerized by what I just saw. I am just simply glad that I saw a masterpiece like that in my lifetime...and it proved to me that the film industry, one that has been sadly fixated on CGI and special effects, is still capable of making a film that can penetrate the soul of the audience with a great script and amazing acting. "
186," One of the greatest films. Period.
", I went in with high expectations and came out absolutely blown away. A timeless piece of cinema with one of the greatest acting performances of all time. 
187," Absolutely Fantastic
"," It's hard to believe someone doesn't understand the violence and the villain formation in this movie. The script doesn't try to make the idea of a redeemer violence it's a lunatic story, it touches in sensible points about human mind and our destructive behaviors. Transcendental, Joker is the truly villain, not just a purple guy snapping fingers. "
188," An amalgam of emotions
"," Joker takes you on an emotional, disturbing yet a magnificent journey. Joaquin Phoenix puts on another brilliant show and the greatest character continues to live on as the favorite super villian. "
189," The best joker actor
", What i saw was the best movie I've ever seen since long time 
190," Best Movie from DC so far
"," Finally DC movie who come with DC's DNA since Nolan's Dark Knight Trilogy, superb action from Phoenix and 'out of the box' plot, something that Marvel will struggle with.... "
191," What an amazing performance!
"," I can't find words to describe Phoenix performance, just amazing! What a movie "
192," The best movie of 2019
"," This movie is phenomenal. Joaquin Phoenix didn't just play the Joker, he became the joker and the slow burn story was not boring if anything it was the perfect rendition of how the Joker came to be. So realistic that you feel bad for Arthur Fleck and you just wanna give him a hug. "
193," Masterpiece
"," This is an absolute must watch, it's a dark movie about the injustices of society "
194," This was mind blowing!
"," I have second thoughts before watching that movie. But after seeing that, absolutely amazing!
I'm sure Heath Ledger will give thumbs up in the sky!
And the actor should get an Oscar 100%!!
I recommend to watch you wont regret! "
195," Uncomfortable, disturbing, thought provoking. A must see.
"," Dark, uncomfortable, thought provoking film. Gritty, dirty, well observed cinematography. A commentary on our times, broken systems, abuse, lack of care; be it societal, physical, mental or pastoral. Owes much to Taxi Driver and King of Comedy. Takes Heath Ledger's Joker deeper and darker. All in all a fitting origins (back story or prequel, whatever) tale or stand alone movie. Complaints about violence? Meh, I've seen more in a Avengers movie...at least it has context.
We genuinely feel for the Joker, is he a misunderstood hero, a figurehead for a anarchic uprising or a monster?
Or is he what our uncaring, unpleasant society has created....?
There's more humanity in this film than the whole of the Nolan Batman franchise.
Does he save the girl on the train with his maniacal laughter distracting the abusers, not able to bear seeing another human abused or can he just not help it?
As he descends deeper into madness, seeking solace in his delusions, finding release in violent acts, you still empathise with him and despise what society forced him to be.
Watch this, love the streetscapes, colour palette, edgy soundtrack and fine method acting from Joaquin Phoenix - Oscar? Oh I think so. "
196," The Perfect Joker
"," Joaquin Phoenix's acting is heartbreaking and horrifying; he gives a tremendously physical performance and it is easily up there as one of his best.<br/><br/>I found the film astounding: the cinematography is beautiful, the pacing is flawless, the tension builds to breaking point. The whole film comes together brilliantly in a character study that is so believable and gritty that I held my breath the whole way through.<br/><br/>I know this review is coming across as gushing, but honestly I cannot imagine how the character could have been portrayed any better. It might be my favourite Batman movie to date, and the Batman is not even in it! I hope this movie is a taste of things to come for the franchise; it makes the Marvel universe look trivial and childish. "
197," Best movie this year so far
"," I was so hype after the trailer, and kinda expecting to be disappointed because DC you khow... but well it turn out even better than what the trailer had shown, and im grad its.
The acting in this movie is too good, hat off to the new joker Joaquin Phoenix. He deserved an oscar for this act.
The story line is still kinda classic joker's but its darker and a lot more twist, i cant count how many time i almost jump off my sit by suprise and excitement.
And there is sooo many dark joke... i love it. "
198," Can you introduce me as JOKER?
"," Critics have just spoken. ""JOKER"" is already the ""#1 Movie in the Whole DC Universe"". It's an ""incredible DC film to watch"", Joker is now the ""Winner Golden Lion Best Film 76 Venice Film Festival"" ""Joaquin Phoenix is Astonishing"", it's ""Exhilarating"" ""A Masterpiece"", ""A Wild Card"", ""10/10"" ""Five Stars"" and it's now the ""#1 wining Major Oscar Buzz, at the Box Office, for the Best Joaquin Phoenix's Joker"", and Todd Phillips just dominated Christopher Nolan's ""The Dark Knight"". This is why you go to the movies, and put a smile on your happy faces to enjoy. "
199," Joaquin deserves the Oscar
", The best movie of this year. The best Joker I have ever seen. Very realistic 
200," Joaquin Phoenix delivers but the story doesn't
"," While I enjoyed the film, it felt pretty short. When ""The End"" appeared on the screen I couldn't help but think - ""That's it?""<br/><br/>Joaquin Phoenix was fantastic with his new take on the Joker, and it's mesmerizing to see his facial expressions keep changing. And his Joker laugh is unique - sinister and full of Joker's madness.<br/><br/>However despite some minor plot twists, most of interesting bits in the film have already been shown in the trailers. Don't expect much action like in The Dark Knight trilogy. Despite the much hyped gun violence, there are less guns in this movie than in any other Batman flick.<br/><br/>This is not a bad film, but it's not a great one either. Watch it only for Joaquin's performance. "
201," joker was best movie ever
"," Cinematography and acting was perfect , and they story depend on personal perception , it will get deep in your soul if you put your self in arthur situation . "
202," DC's masterpiece. Although a huge risk for the studio -- it paid of. A lot.
",
203," 10/10
"," The Joker won. Absolutely tremendous, what acting skills are we talking about ? It is amazing! "
204," Uncomfortable,Disturbing,Genius!
"," I haven't sat through the entire credits in stunned silence since ''let the right one in"" baring no resemblance to this movie whatsoever I was left completely speechless as to what I'd just witnessed. The term masterpiece is thrown around alot these days but Jaquin's nailed on performance of one of society's forgotton tormented souls that inevitabley arcs into the fragile but brutal criminal psychopath we know as the joker is understatedley 'perfect' to a level where the viewer is left to almost encourage Aurthur's inevitable wrong doings and sucker you into morally second guessing yourself with 'is he actually doing wrong?'
I could go on but there are many other reviews for you to read that will say everything I would have said about the cinematography, music, sound,direction,set pieces, un-nerving tension, the violence, the twists and every other reason we love movies which Joker pulls off so so well.
If you've not already booked to see it just drop what your doing and book.
Just dont expect a superhero movie. "
205," Finally a movie THATS REAL! LOVE THIS MOVIE SO MUCH I HAD TO REVIEW. WHICH I HAVE NEVER DONE!!!! EPIC
", AMAZING 😍 GENIUS!! A REAL MOVIE. WILL WATCH OVER AND OVER AGAIN 
206," SOLID! But don't believe the hype...
"," Joaquin Phoenix's performance is excellent, but the film is flawed, the main offenders being a second act twist that's visible a mile away and a small scene during the ending that feels tacked on.<br/><br/>However, you should see this film at least once. "
207," This is not just a movie, it's a mental exercise!
"," I went in the movie expecting a basic/ straight forward origin story of the joker and how he would fit in this universe Gotham. But I got something else, an experience like never before from a comic book film. After the first watch I couldn't grasp everything, but after watching it for the third time, there are so many things happening that you would not even think of are happening, or ask yourself are they even real? The more you watch this film the more it grows on you, maks you think about the reality. The movie doesn't end on a straight forward conclusion, but keeps the mystery intact, and is open to interpretation. My take on this one is that, this movie is not about the joker which we know from the comics and live action movies, but it's about a man who impregnated this chaos in Gotham which led to hundreds of followers from which the real joker was born who became the arch nemesis of the batman. Joker is not about who is behind the mask but about the chaos which still passes down and is beyond his death. "
208," People get this movie all wrong
"," You're not supposed to relate to the Joker!
You're meant to realise that some people are in pain. That people that act strangely should not be mocked, their life might have been horrific.
Be kinder, be more tolerant. Don't help create a real life Joker. "
209," Flawless
"," I couldn't find a negative thing about this movie.
It's bold and brilliant. Joaquin Phoenix gives one of the best performances I have ever seen.
You have to go and see this. The only reason it has negative reviews is because some people were expecting another superhero movie with action - thank god it's not. "
210," Joker movie we deserve
"," Amazing acting from Phoenix!!! Absolutely solid performance. The score was equally incredible. My only complaint was there was a lot of build up time to becoming Joker, not a lot of Joker time. I understand this is an origin story, I just feel that I wanted a bit more in the end. But all in all amazing movie, you must go see it! "
211," Best Acting Performance of the decade !
"," I'm mesmerised , overwhelmed by the sheer beauty of Joaquin's Acting. The best cinematic experience I hve had in a long time. So glad I watched this in theatre. "
212," All It Takes Is One Bad Day!
",
213," ""Did you ever dance with the devil in the pale moonlight?""
", My only issue with the movie is the lack of this line 
214," Fantastic movie
"," Peter Bradshaw of the Guardian has got be the worst film critic on the planet!
How did he ever get a job doing this.
He is clueless.
Ignore his review .
This is a brilliant piece of film making "
215," Speechless!! I cried!! Joaquin = Heath
", At loss of words. Legacy of Heath has continued finally someone picked up where he left. Wow what a performance. I can still hear the laugh. 
